time ,location,name,rank
2015-02-22T20:09:10Z,Albuquerque,#BeatOhio,1
2015-02-22T20:09:10Z,Albuquerque,Round 11,2
2015-02-22T20:09:10Z,Albuquerque,#TheTitleOfMySexTape,3
2015-02-22T20:08:57Z,Atlanta,#Daytona500,1
2015-02-22T20:08:57Z,Atlanta,Vic Beasley,2
2015-02-22T20:08:57Z,Atlanta,Waffle House,3
2015-02-22T20:04:52Z,Austin,#LetsPlayLive,1
2015-02-22T20:04:52Z,Austin,SXSW,2
2015-02-22T20:04:52Z,Austin,Spurs,3
2015-02-22T20:08:59Z,Baltimore,#CapsFlyers,1
2015-02-22T20:08:59Z,Baltimore,Towson,2
2015-02-22T20:08:59Z,Baltimore,Walmart,3
2015-02-22T20:09:02Z,Baton Rouge,Jarell Martin,1
2015-02-22T20:09:02Z,Baton Rouge,Waffle House,2
2015-02-22T20:09:02Z,Baton Rouge,Walmart,3
2015-02-22T20:04:52Z,Birmingham,#BamaHoops,1
2015-02-22T20:04:52Z,Birmingham,Waffle House,2
2015-02-22T20:04:52Z,Birmingham,Tuscaloosa,3
2015-02-22T20:04:49Z,Boston,#JACOBMERCHAF,1
2015-02-22T20:04:49Z,Boston,#Daytona500,2
2015-02-22T20:04:49Z,Boston,#NASCAR,3
2015-02-22T20:08:59Z,Charlotte,#Daytona500,1
2015-02-22T20:08:59Z,Charlotte,#NASCAR,2
2015-02-22T20:08:59Z,Charlotte,SAFER,3
2015-02-22T20:08:57Z,Chicago,#Daytona500,1
2015-02-22T20:08:57Z,Chicago,#RYANBEATTYCHICAGO,2
2015-02-22T20:08:57Z,Chicago,#NASCAR,3
2015-02-22T20:09:00Z,Cincinnati,#Daytona500,1
2015-02-22T20:09:00Z,Cincinnati,Waffle House,2
2015-02-22T20:09:00Z,Cincinnati,#HonestHour,3
2015-02-22T20:08:59Z,Cleveland,#BetterThanTheKnicks,1
2015-02-22T20:08:59Z,Cleveland,#ConLife,2
2015-02-22T20:08:59Z,Cleveland,Daytona 500,3
2015-02-22T20:09:09Z,Colorado Springs,#BeatOhio,1
2015-02-22T20:09:09Z,Colorado Springs,Round 11,2
2015-02-22T20:09:09Z,Colorado Springs,#TheTitleOfMySexTape,3
2015-02-22T20:08:59Z,Columbus,Amir Williams,1
2015-02-22T20:08:59Z,Columbus,Thad,2
2015-02-22T20:08:59Z,Columbus,#Daytona500,3
2015-02-22T20:08:57Z,Dallas-Ft. Worth,#Daytona500,1
2015-02-22T20:08:57Z,Dallas-Ft. Worth,Waffle House,2
2015-02-22T20:08:57Z,Dallas-Ft. Worth,The Duff,3
2015-02-22T20:04:49Z,Denver,#Daytona500,1
2015-02-22T20:04:49Z,Denver,#NASCAR,2
2015-02-22T20:04:49Z,Denver,#cowx,3
2015-02-22T20:08:57Z,Detroit,#BeatOhio,1
2015-02-22T20:08:57Z,Detroit,#Daytona500,2
2015-02-22T20:08:57Z,Detroit,#GoBlue,3
2015-02-22T20:09:10Z,El Paso,UTEP,1
2015-02-22T20:09:10Z,El Paso,Taking Back Sunday,2
2015-02-22T20:09:10Z,El Paso,Selena,3
2015-02-22T20:04:50Z,Harrisburg,Rinaldo,1
2015-02-22T20:04:50Z,Harrisburg,THON,2
2015-02-22T20:04:50Z,Harrisburg,Xbox,3
2015-02-22T20:09:01Z,Honolulu,UC Davis,1
2015-02-22T20:09:01Z,Honolulu,Skype,2
2015-02-22T20:09:01Z,Honolulu,Walmart,3
2015-02-22T20:08:57Z,Houston,The Duff,1
2015-02-22T20:08:57Z,Houston,Waffle House,2
2015-02-22T20:08:57Z,Houston,Walmart,3
2015-02-22T20:04:51Z,Indianapolis,#Daytona500,1
2015-02-22T20:04:51Z,Indianapolis,Xbox,2
2015-02-22T20:04:51Z,Indianapolis,Xavier,3
2015-02-22T20:09:01Z,Jackson,Waffle House,1
2015-02-22T20:09:01Z,Jackson,Scandal,2
2015-02-22T20:09:01Z,Jackson,The Duff,3
2015-02-22T20:09:09Z,Jacksonville,Winston,1
2015-02-22T20:09:09Z,Jacksonville,The Duff,2
2015-02-22T20:09:09Z,Jacksonville,Wolfson,3
2015-02-22T20:05:00Z,Kansas City,#Daytona500,1
2015-02-22T20:05:00Z,Kansas City,Walmart,2
2015-02-22T20:05:00Z,Kansas City,Westport,3
2015-02-22T20:04:52Z,Las Vegas,The DUFF,1
2015-02-22T20:04:52Z,Las Vegas,#MayweatherPacquiao,2
2015-02-22T20:04:52Z,Las Vegas,#Daytona500,3
2015-02-22T20:04:48Z,Los Angeles,#TheTitleOfMySexTape,1
2015-02-22T20:04:48Z,Los Angeles,#Oscars2015,2
2015-02-22T20:04:48Z,Los Angeles,#Daytona500,3
2015-02-22T20:08:59Z,Louisville,Auburn,1
2015-02-22T20:08:59Z,Louisville,Harrell,2
2015-02-22T20:08:59Z,Louisville,Marcus Lee,3
2015-02-22T20:04:51Z,Memphis,Waffle House,1
2015-02-22T20:04:51Z,Memphis,#BringIt,2
2015-02-22T20:04:51Z,Memphis,Wright State,3
2015-02-22T20:09:10Z,Mesa,#BeatOhio,1
2015-02-22T20:09:10Z,Mesa,Round 11,2
2015-02-22T20:09:10Z,Mesa,#TheTitleOfMySexTape,3
2015-02-22T20:08:59Z,Miami,Bosh,1
2015-02-22T20:08:59Z,Miami,Xbox,2
2015-02-22T20:08:59Z,Miami,Venezuela,3
2015-02-22T20:04:52Z,Milwaukee,#UWMdragshow,1
2015-02-22T20:04:52Z,Milwaukee,#Daytona500,2
2015-02-22T20:04:52Z,Milwaukee,STATE,3
2015-02-22T20:04:50Z,Minneapolis,#MiracleOnIce,1
2015-02-22T20:04:50Z,Minneapolis,#Daytona500,2
2015-02-22T20:04:50Z,Minneapolis,Travis Scott,3
2015-02-22T20:08:59Z,Nashville,#Daytona500,1
2015-02-22T20:08:59Z,Nashville,Waffle House,2
2015-02-22T20:08:59Z,Nashville,Walmart,3
2015-02-22T20:04:51Z,New Haven,#youngandcrazy,1
2015-02-22T20:04:51Z,New Haven,Winston,2
2015-02-22T20:04:51Z,New Haven,Walmart,3
2015-02-22T20:09:01Z,New Orleans,Waffle House,1
2015-02-22T20:09:01Z,New Orleans,Walmart,2
2015-02-22T20:09:01Z,New Orleans,Trap Queen,3
2015-02-22T20:08:57Z,New York,#Oscars2015,1
2015-02-22T20:08:57Z,New York,#Daytona500,2
2015-02-22T20:08:57Z,New York,#GreenWall,3
2015-02-22T20:09:00Z,Norfolk,#Daytona500,1
2015-02-22T20:09:00Z,Norfolk,Waffle House,2
2015-02-22T20:09:00Z,Norfolk,Turnt,3
2015-02-22T20:09:10Z,Oklahoma City,The Duff,1
2015-02-22T20:09:10Z,Oklahoma City,#ThunderUp,2
2015-02-22T20:09:10Z,Oklahoma City,Walmart,3
2015-02-22T20:05:00Z,Omaha,Winston,1
