time,location,name,rank
2015-02-22T23:07:03Z,Albuquerque,#NashOnTheView,1
2015-02-22T23:07:03Z,Albuquerque,#HappyAnniversaryLarry,2
2015-02-22T23:07:03Z,Albuquerque,Japan TV,3
2015-02-22T23:03:03Z,Atlanta,#Daytona500,1
2015-02-22T23:03:03Z,Atlanta,Joey Logano,2
2015-02-22T23:03:03Z,Atlanta,#NashOnTheView,3
2015-02-22T23:07:00Z,Austin,#Daytona500,1
2015-02-22T23:07:00Z,Austin,#LetsPlayLive,2
2015-02-22T23:07:00Z,Austin,SXSW,3
2015-02-22T23:06:59Z,Baltimore,#CapsFlyers,1
2015-02-22T23:06:59Z,Baltimore,#Daytona500,2
2015-02-22T23:06:59Z,Baltimore,Wizards,3
2015-02-22T23:07:00Z,Baton Rouge,Waffle House,1
2015-02-22T23:07:00Z,Baton Rouge,Jarell Martin,2
2015-02-22T23:07:00Z,Baton Rouge,Walmart,3
2015-02-22T23:07:00Z,Birmingham,#Daytona500,1
2015-02-22T23:07:00Z,Birmingham,Waffle House,2
2015-02-22T23:07:00Z,Birmingham,The Tide,3
2015-02-22T23:06:58Z,Boston,Carcillo,1
2015-02-22T23:06:58Z,Boston,#NashOnTheView,2
2015-02-22T23:06:58Z,Boston,Blackhawks,3
2015-02-22T23:03:04Z,Charlotte,#Daytona500,1
2015-02-22T23:03:04Z,Charlotte,Joey Logano,2
2015-02-22T23:03:04Z,Charlotte,#NASCAR,3
2015-02-22T23:03:03Z,Chicago,#CHIvsBOS,1
2015-02-22T23:03:03Z,Chicago,#NashOnTheView,2
2015-02-22T23:03:03Z,Chicago,#HockeyDayInAmerica,3
2015-02-22T23:03:05Z,Cincinnati,#Daytona500,1
2015-02-22T23:03:05Z,Cincinnati,Chris Jones,2
2015-02-22T23:03:05Z,Cincinnati,Tarzan,3
2015-02-22T23:06:59Z,Cleveland,#Daytona500,1
2015-02-22T23:06:59Z,Cleveland,The Knicks,2
2015-02-22T23:06:59Z,Cleveland,Winter Jam,3
2015-02-22T23:07:03Z,Colorado Springs,#NashOnTheView,1
2015-02-22T23:07:03Z,Colorado Springs,#HappyAnniversaryLarry,2
2015-02-22T23:07:03Z,Colorado Springs,Japan TV,3
2015-02-22T23:03:04Z,Columbus,#Daytona500,1
2015-02-22T23:03:04Z,Columbus,Joey Logano,2
2015-02-22T23:03:04Z,Columbus,Amir Williams,3
2015-02-22T23:03:03Z,Dallas-Ft. Worth,#Daytona500,1
2015-02-22T23:03:03Z,Dallas-Ft. Worth,#NashOnTheView,2
2015-02-22T23:03:03Z,Dallas-Ft. Worth,Joey Logano,3
2015-02-22T23:03:03Z,Denver,#Daytona500,1
2015-02-22T23:03:03Z,Denver,#NASCAR,2
2015-02-22T23:03:03Z,Denver,#COwx,3
2015-02-22T23:06:58Z,Detroit,#BeatOhio,1
2015-02-22T23:06:58Z,Detroit,#Daytona500,2
2015-02-22T23:06:58Z,Detroit,The Oscars,3
2015-02-22T23:03:09Z,El Paso,UTSA,1
2015-02-22T23:03:09Z,El Paso,Taking Back Sunday,2
2015-02-22T23:03:09Z,El Paso,Selena,3
